,text,date
71,Congo declares end of world's second-largest Ebola outbreak,2020-06-25T11:04:42Z
72,"Billionaire, philanthropist Robert F. Smith lobbies Washington, Wall Street for funding for minority businesses during pandemic",2020-06-25T11:04:02Z
73,SoftBank's Son leaves Alibaba board following Ma's departure,2020-06-25T11:03:27Z
74,June’s rallies for black transgender lives can change attitudes and policies. Here’s how.,2020-06-25T11:00:00Z
75,Taiwan's dragon boat races among few to be held this year,2020-06-25T10:58:10Z
76,"Non Sequitur for Thursday, June 25, 2020",2020-06-25T10:38:42Z
77,Power Up: Election Night is turning into election week amid surge in mail-in voting,2020-06-25T10:38:19Z
78,An unarmed 23-year-old black man died after police stopped him. The governor wants a new probe. - Washington Post,2020-06-25T10:35:00Z
79,Pakistan state-run airline: 150 pilots to be grounded following crash probe for obtaining licenses by cheating on exams,2020-06-25T10:34:11Z
80,"Black Americans say racism, policing top issues for November, favor Biden by huge margin, Post-Ipsos poll finds",2020-06-25T10:30:00Z
82,"Deck-climbing, dog-racing, breakdancing: One NFL player’s quarantine workout stands out",2020-06-25T10:00:37Z
83,Trump fired a federal prosecutor investigating his allies. Can he do that?,2020-06-25T10:00:00Z
84,Coronavirus sweeps through Afghanistan's security forces,2020-06-25T10:00:00Z
85,"Doonesbury for Thursday, June 25, 2020",2020-06-25T09:41:06Z
86,Lightning kills 23 in India amid heavy rainstorms,2020-06-25T09:31:11Z
87,2 Koreas mark war anniversary after pause in rising tensions,2020-06-25T09:28:09Z
88,German minister drops threat to sue over column on police,2020-06-25T09:12:15Z
89,Top Turkish official denounces Bolton memoir,2020-06-25T09:04:11Z
90,"D.C.-area forecast: Spotty showers today, but otherwise nice weather through Friday; steamy this weekend",2020-06-25T09:00:45Z
91,"Indonesia's passes 50,000 cases as business resumes",2020-06-25T08:58:37Z
92,"Coronavirus cases surpass 50,000 in Indonesia as businesses reopen",2020-06-25T08:52:08Z
93,New Delhi plans mass screening effort as virus cases surge,2020-06-25T08:45:31Z
94,Clashes with police after 'unlawful' street party in London,2020-06-25T08:45:10Z
95,Report: Iran TV airs 355 coerced confessions over decade,2020-06-25T08:09:15Z
96,‘We are just gonna go out and start slaughtering them’: Three cops fired after racist talk of killing black residents - The Washington Post,2020-06-25T08:03:18Z
97,Indian army chief visits troops near troubled China border,2020-06-25T07:58:27Z
98,Who hasn't heard of COVID-19 by now? More than you think,2020-06-25T07:31:16Z
99,"Trump keeps saying Obama left him ‘no ventilators.’ The number is 16,660.",2020-06-25T07:00:03Z
